"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","visib","number_of_accidents"
"219",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,10,0.444954128440367
"220",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,9.3,0.513761467889908
"221",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,6.4,0.321100917431193
"222",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,10,0.288990825688073
"223",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,10,0.376146788990826
"224",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,4.6,0.451834862385321
"225",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,8.3,0.612385321100917
"226",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,10,0.559633027522936
"227",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,10,0.740825688073395
"228",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,10,0.341743119266055
"229",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,8.4,0.19954128440367
"230",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,9.5,0.245412844036697
"231",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,9.5,0.428899082568807
"232",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,7.1,0.474770642201835
"233",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,3.9,0.511467889908257
"234",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,7.8,0.644495412844037
"235",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,10,0.394495412844037
"236",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,10,0.238532110091743
"237",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,10,0.380733944954128
"238",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,4.5,0.346330275229358
"239",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,3.9,0.291284403669725
"240",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,5.8,0.497706422018349
"241",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,9.9,0.559633027522936
"242",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,7,0.286697247706422
"243",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2013,7.5,0.286697247706422
"244",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2013,7,0.174311926605505
"245",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2013,2,0.44954128440367
